Name,Prices
Dell Chromebook 11 TOUCHSCREEN Students Laptop Computer Dual Core SSD WiFi HDMI,$141.99
Toshiba Chromebook 13.3 in Students Laptop Computer Dual Core SSD WiFi HDMI,$135.99
"Dell Laptop Chromebook 11.6"" Notebook Intel 16GB SSD Wifi HDMI Webcam Google OS",$139.95
Dell Chromebook 11 Students Laptop Computer Dual Core SSD WiFi HDMI,$122.99
"Acer Chromebook C720P-2625 11.6"" 2957u 1.4GHz 4GB RAM 16GB SSD Chrome OS Touch",$90.50
"HP Chromebook 14-SMB Black 14"" 2955u 1.4GHz 4GB RAM 16GB SSD Chrome OS",$94.50
"NEW Acer 15.6"" HD Chromebook Intel Dual 2.6GHz 32GB SSD 4GB RAM Webcam + Sleeve",$258.95
"NEW Acer 15.6"" HD Chromebook Intel Dual 2.6GHz 32GB SSD 4GB RAM Webcam + Sleeve",$279.99
"Dell Chromebook 3120 11.6"" Intel Celeron N2840 2.16GHz 4GB 16GB SSD Laptop XDGJH",$99.99
"Acer Chromebook 11 C740 (16GB SSD, Intel Celeron, 4GB RAM) Laptop w/ Charger",$89.95
"HP Chromebook 11 11.6"" LED 16GB  2GB Exynos 5250 Dual-Core 1.7GHz - NO CHARGER",$99.99
"Lenovo Chromebook ThinkPad 11.6"" 4 GB 16GB SSD HDMI Google USB WIFI Webcam",$94.99
Samsung XE303C12-A01US Exynos 5 Dual-Core 1.7GHz 2GB 16GB Chromebook with Webcam,$89.95
Samsung XE303C12-A01US Exynos 5 Dual-Core 1.7GHz 2GB 16GB Chromebook with Webcam,$129.90
"DELL CHROMEBOOK Laptop 11 CB1C13 11.6"" 2GB RAM 16GB SSD INTEL CELERON 2955U 1.40",$119.95
"Samsung Chromebook XE303C12 11.6"" Exynos 5 1.7Ghz 2Gb 16Gb WiFi HDMI Bluetooth",$83.95
"Lenovo ThinkPad x131e Chromebook 11.6"" Intel Celeron 1.5GHz 4GB RAM 16GB SSD",$84.89
"Samsung Chromebook 11.6"" XE303C12 Series 3 1.7GHz 16GB 2GB w/ AC Adapter",$64.99
"NEW Acer 15.6"" HD Chromebook Intel Dual 2.6GHz 32GB SSD 4GB RAM Webcam + Sleeve",$255.99
"Lenovo Students Chromebook Touch Screen Thinkpad Yoga 11e 11.6"" 4GB 16GB HDMI",$99.98
"Dell Chromebook 3120 11.6"" (16GB SSD, Intel N2840, 4GB, ChromeOS) Laptop",$65.95
"New Samsung 11.6"" Chromebook 3 501C13-S01 Intel Atom x5 2GB Ram 16GB eMMC SEALED",$209.00
"Acer Chromebook C720 11.6"" Celeron 2955U 1.4Ghz 2Gb 16Gb WiFi HDMI BT",$87.95
"Acer Chromebook C720-2103 11.6"" Celeron 2955U 1.4GHz 2GB RAM 16GB SSD Chrome OS",$70.50
"11.6"" Samsung Chromebook XE303C12 Laptop 1.7GHz 16GB SSD W/CHARGER (Used)",$39.99
"Acer Chromebook Tab 10 - 9.7"" Tablet ARM Dual-core 4GB Ram 32GB Flash Chrome OS",$144.99
NEW Samsung Chromebook 3 11.6 Laptop Intel N3060 2.48GHz 16GB SSD 4GB RAM,$259.99
"HP Chromebook 11 G4 11.6"" N2840 2.16GHz 4GB RAM 16GB SSD Certified Refurbished",$100.50
"HP 11.6"" Chromebook G4 EE Intel Celeron 2.16GHz 4GB 16GB SSD in Black (V2W30UT)",$89.99
SAMSUNG XE303C12-A01US Chromebook Samsung Exynos 1.70GHz - TESTED WORKING,$59.88
"Acer Chromebook C740-C4PE 11.6"" Celeron 3215U 1.7Ghz 4Gb 16Gb WiFi HDMI Charger",$83.95
"DELL Chromebook 11 3189 Laptop 11.6"" Celeron N3060 1.6GHz 4GB 32GB SSD Chrome",$49.00
"Dell Chromebook 11 3120 11.6"" N2840 2.16GHz 4GB 16GB Wifi Webcam Chrome OS P22T",$87.95
"New HP Chromebook 11 G7 EE.  11.6"", N4000 4GB RAM, 1.1GHZ 1-Year ",$192.48
Acer Chromebook 13 in Students Laptop Computer QUAD Core Nvidia SSD AC-WiFi HDMI,$148.99
"Samsung XE500C13-K04US Chromebook 3 11.6"" HD N3060 1.6GHz 4GB RAM 16GB eMMC",$189.00
"Dell Chromebook CB1C13 11.6in  Intel Celeron N2840 ,2.16GHz  2GB  16GB SSD",$99.99
"HP Chromebook 11 G3 N2840 11.6"" 2GB RAM 16GB Storage Black Case Not Intact",$54.99
"Lenovo Chromebook ThinkPad X131e Celeron 1007U DualCore 4GB 16GB SSD 11.6"" Black",$109.99
"HP | Chromebook 14-SMB 14"" | Celeron 2955U 1.4Ghz | 4Gb | 10Gb Wifi HDMI Webcam",$80.00
HP ChromeBook 14-SMB Laptop Intel Celeron 1.4GHz 4GB 16GB HDMI Original Charger,$89.00
Dell Chromebook p22t 16gb ,$57.00
Acer Chromebook 15 Intel Atom x5 E8000 1.04 GHz 4GB Ram 16GB Flash Chrome OS,$154.99
HP Chromebook 11 G4 Intel Celeron Dual-Core 4GB RAM 16GB SSD V2W30UT Grade B,$99.99
"HP Chromebook 14 G1 SMB F7W49UA#ABA 14"" 4GB RAM 16GB SSD Netbook HD Graphics",$139.99
HP Chromebook F7W49UA Laptop Intel Celeron 4GB 16GB SSD Chrome Webcam Grade B,$109.99
"Acer Chromebook C730E-C555 11.6"" Celeron 2.16GHz SSD 16GB RAM 4GB",$99.99
HP ChromeBook 14 Laptop Intel Celeron 1.4GHz 4GB 16GB Chromebook HDMI Charger,$79.00
"HP 14' Touchscreen Lightweight Chromebook, 4GB RAM, 32GB SSD Intel HD Graphics",$51.00
Acer Chromebook Spin 11 Intel Celeron N3350 1.10GHz 4GB Ram 32GB Flash Chrome OS,$199.99
"Acer Chromebook C720-2844 11.6in. (16GB, Intel Celeron, 1.4GHz, 4GB) ",$54.99
"HP Light Chromebook 14"" Full-HD (TouchScreen) AMD 2.40GHz 4GB 32GB SSD B&O PLAY",$219.95
"Lenovo Thinkpad 11e Chromebook 11.6"" 1.83 GHz 4 GB Ram - Cosmetic issue ",$49.99
Google Chromebook Pixel Laptop i5-3427U 1.80GHz 4GB | 32GB SSD Chrome OS Touch,$129.99
"Samsung Chromebook 3 XE501C13-S02US 11.6"" Intel Atom X5 4GB 32GB ",$129.99
"Acer Chromebook Spin 15.6"" Intel N4200 1.10 GHz 4GB Ram 32GB Flash Chrome OS",$249.99
Acer Chromebook 11 TOUCHSCREEN Students Laptop Computer Dual Core SSD WiFi HDMI,$139.99
"DELL CHROMEBOOK 11.6"" / 4GB RAM  / Laptop / Black / WIFI / Google/ Charger ",$95.55
