Name,Prices
Dell Chromebook 11 TOUCHSCREEN Students Laptop Computer Dual Core SSD WiFi HDMI,$141.99
DELL LATITUDE E6320 LAPTOP WINDOWS 10 WIN DVD INTEL i5 2.5GHz 8GB 320GB HD HDMI,$282.00
"Dell Latitude E5430 14"" Laptop | Intel Core i3 Dual Core | Windows 10",$134.55
"Dell Latitude E7450 14"" Touch Laptop i5-5300U @ 2.30GHz 4GB RAM 128GB SSD AB754",$149.95
"2020 Dell 14"" HD Laptop i5-1035G4 (>i7-7500U) to 3.7GHz, upto 16GB RAM & 1TB SSD",$639.00
"Dell Latitude E7250 12.5"" Laptop - i7-5600U, 16GB RAM, 256GB SSD, Win 10",$229.99
Dell Latitude E5520- Windows 7- Core i3,$65.00
"Dell 15.6"" Latitude E5540 Intel Core i7-4600U 2.10GHz 8GB RAM 128GB SSD Win 10 ",$249.95
"Fast Dell Latitude 10.1"" Laptop Computer Windows 10 Netbook PC Intel 1.6GHz CPU",$99.95
Dell Chromebook 11 Students Laptop Computer Dual Core SSD WiFi HDMI,$122.99
Dell OptiPlex 3020 SFF Intel i5 8GB RAM 500GB HDD Win 10 USB VGA B Grade Desktop,$109.99
DELL LAPTOP LATITUDE i5 16GB 1TB 512GB SSD HDMI PRO WINDOWS 10 WiFi NOTEBOOK PC,$249.95
"Dell - Inspiron 15.6"" Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 1TB ...",$449.99
Dell Inspiron,$82.00
Dell Optiplex 5040  Desktop i7-6700 3.4Ghz 16GB 1TB Win10 64bit,$300.00
Dell Latitude E5520- Windows 7- Core i3,$60.00
"Dell Chromebook 3120 11.6"" Intel Celeron N2840 2.16GHz 4GB 16GB SSD Laptop XDGJH",$99.99
"Dell 3567 Inspiron 15 Notebook 15.6"" 1TB i3 7100U 2.4GHz 8GB Windows 10 Home",$20.50
"Dell Inspiron 11 3000 Series 2-in-1 11.6 Inch Laptop (Gray, 500GB) ",$75.99
"Dell Latitude E6420 14"" ATG Laptop Intel i5-2520M 2.50GHz 4GB RAM - No HDD/AC",$109.00
"Dell Latitude E5440 14"" i3-4010u 1.7GHz 4GB RAM 128GB SSD Windows 10 Home",$135.99
DELL G3 15 3590 | INTEL CORE I7-9750H 2.60GHZ | 1TB | 16GB RAM | NO OS,$152.50
Dell Latitude E5450 Intel i5-5300u 8GB Ram 256GB SSD Nvidia Geforce 830M,$39.00
"Dell 14in. (500GB, 4GB) Notebook/Laptop - 3450",$65.00
Dell Optiplex 7010 SFF 500GB HDD 8GB  Windows 10 Pro Quad Core i5-3550 ,$99.99
Dell XPS 13 9350 QHD+ TouchScreen Laptop - i5-6300U CPU✔8GB RAM✔256GB SSD✔WIN 10,$499.99
Dell Inspiron 17 3721 i5-3337U 2.7GHz 8GB RAM 256 SSD W10 Pro,$229.99
Dell Laptop E6410 Computer Core i5 Windows 10 8GB 500GB HD DVD Wifi Window 10 PC,$189.95
"Dell Latitude E6440 Intel Core i5-4300M 2.6GHz 14"" Laptop Computer ",$49.95
Dell Latitude LAPTOP INTEL i5 8GB 350G SSD WEBCAM HDMI Windows 10 WiFi GAMING PC,$229.00
"2020 Dell 15.6"" TouchScreen Laptop i3-8145U (>i5-7200U),3.9GHz,16GB RAM &1TB SSD",$539.00
"Dell Laptop Chromebook 11.6"" Notebook Intel 16GB SSD Wifi HDMI Webcam Google OS",$139.95
DELL LATiTUDE E5520 LAPTOP WINDOWS 10 WIN DVD INTEL i5 2.5GHz 8GB 500GB HD HDMI,$318.00
DELL INSPIRON 15 7569 | INTEL CORE I5-6200U 2.30GHZ | 256GB | 8GB RAM | NO OS,$19.99
"Dell Inspiron 7573 15.6"" 2-in-1 FHD Touch i7-8550U 16 512 SSD i7573-7994GRY-PUS",$699.66
"Dell Latitude e5470 14in. (128GB, Intel Core i5 6th Gen., 3GHz, 8GB)...",$113.50
Dell Latitude 7370 Core m5-6Y57  1.10GHz 8GB RAM No Hard Drive Incomplete LAPTOP,$49.00
"Dell Precision T5810 CTO Barebone, 685w PS, Xeon E5-1650, 32GB RAM, DVDRW",$229.99
Dell Vostro 1440 Laptop - 2.53 GHz i3-M380 4GB 160GB HDD Windows 10 Pro ,$89.95
DELL PINK INSPIRON 1521 LAPTOP,$50.00
"Dell Latitude E6440 14"" Laptop Intel Core i5 2.6GHz 4GB 320GB Windows 10 ",$169.95
Dell Latitude E5440 Laptop w/ Intel Core i5 2.00GHz 4GB RAM 320GB HDD,$109.99
"Dell Latitude 7350 13.3"" Intel M-5Y70 8GB Laptop Tablet NO OS NO HDD TESTED",$124.95
Dell Optiplex 7010 Core i5-3570 3.4ghz 8GB DVDRW NO HD Desktop Computer ,$79.99
"Dell Latitude E5440 14"" 4GB Intel Core i3 - 1.9GHz - 4GB 250GB - Windows 10",$139.95
DELL INSPIRON 15 5537 | INTEL CORE I5-4200U 1.60GHZ | 1TB | 8GB RAM | NO OS,$14.99
"Dell Latitude E5430 14"" Intel Core i3-3120M 2.50GHz 4GB DDR3 WIN7COA No OS HDD",$44.99
"DELL VOSTRO 3700  17.3""(500GB,i5-M460,2.53GHz,4GB,HDMI,BT)Win7&Win10 OFFICE 2016",$139.00
"Dell OptiPlex 790 SFF PC Computer i5-2400 3.10GHz , 4GB, 320GB HDD, No OS",$69.99
Dell OptiPlex 3020 SFF Intel i3 8GB RAM 500GB HDD Win 10 USB VGA B Grade Desktop,$89.99
